step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
103,PAYMENT,3200.74,C13356886,40278.26,37077.52,M42868828,11160.54,14361.28,0
436,TRANSFER,3386.73,C83197857,7733.67,4346.94,M66629388,1589.13,4975.86,0
271,PAYMENT,477.54,C41227216,25745.3,25267.76,M13561597,28062.25,28539.79,0
107,CASH_OUT,3509.61,C66306997,14531.64,11022.03,M89089901,13909.54,17419.15,0
72,PAYMENT,4347.81,C31429110,39254.78,34906.97,M55667651,13893.57,18241.38,0
701,TRANSFER,3819.84,C23718431,8457.13,4637.29,M22981052,17948.97,21768.81,0
21,TRANSFER,1329.96,C15831819,37816.55,36486.59,M81971316,6241.31,7571.27,0
615,PAYMENT,4612.25,C20576383,32214.28,27602.03,M94374605,30925.99,35538.24,0
122,PAYMENT,4309.92,C87490893,13924.35,9614.43,M19335534,2291.22,6601.14,0
467,PAYMENT,1147.21,C48840994,50408.29,49261.08,M41244663,43324.18,44471.39,0
215,DEBIT,1906.83,C70855700,33691.05,31784.22,M58966946,8132.7,6225.87,0
331,PAYMENT,1782.8,C99949389,15131.69,13348.89,M96977837,3570.13,5352.93,0
459,CASH_OUT,2675.36,C42857966,10845.48,8170.12,M60929647,13497.39,16172.75,0
88,CASH_IN,4627.7,C84752529,15608.46,20236.16,M53524491,42142.6,37514.9,0
373,CASH_OUT,1152.95,C14308421,41405.24,40252.29,M63843426,13387.04,14539.99,0
100,PAYMENT,1062.8,C86125617,44881.18,43818.38,M52235350,10631.33,11694.13,0
664,CASH_IN,2501.16,C96282117,25443.75,27944.91,M45551614,6981.52,4480.36,0
131,PAYMENT,3727.5,C82340307,16864.58,13137.08,M88461803,21421.69,25149.19,0
662,TRANSFER,1816.36,C28566572,27292.67,25476.31,M22201654,37789.11,39605.47,0
309,DEBIT,4306.9,C30514014,35679.2,31372.3,M66661351,29820.45,25513.55,0
344,CASH_OUT,2983.48,C72820592,29439.2,26455.72,M84252722,43038.99,46022.47,0
492,TRANSFER,761058.49,C82070937,761058.49,0.0,M96028436,17008.77,740523.37,1
414,PAYMENT,1474.57,C31227574,24160.76,22686.19,M45351479,48594.4,50068.97,0
386,PAYMENT,3812.19,C78139880,49443.58,45631.39,M93926371,14922.24,18734.43,0
192,TRANSFER,3048.76,C30513739,21744.45,18695.69,M31682744,26968.95,30017.71,0
277,PAYMENT,3895.35,C81182864,49820.02,45924.67,M90388981,16207.8,20103.15,0
161,CASH_IN,107.19,C58718453,44043.28,44150.47,M51273847,11972.62,11865.43,0
460,CASH_IN,1211.95,C86149359,48559.42,49771.37,M21496211,36595.38,35383.43,0
314,DEBIT,4081.96,C81498611,42373.68,38291.72,M27232410,32987.54,28905.58,0
22,TRANSFER,833.98,C80823176,44455.63,43621.65,M66792612,48218.15,49052.13,0
